date,cases_new,cases_recovered,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,total_cases,cases_import
"1 January, 2021",2068,2230,0,0,35,17,0,18,671,4298,2
"2 January, 2021",2295,3321,0,2,30,33,0,135,882,5616,9
"3 January, 2021",1704,2726,0,0,41,25,0,83,432,4430,5
"4 January, 2021",1741,1010,0,0,47,7,0,37,518,2751,8
"5 January, 2021",2027,1221,0,0,30,14,0,111,590,3248,16
"6 January, 2021",2593,1129,0,2,21,12,0,81,1463,3722,4
"7 January, 2021",3027,2145,0,2,38,8,0,63,1403,5172,6
"8 January, 2021",2643,2708,0,0,75,10,0,131,935,5351,2
"9 January, 2021",2451,1401,0,1,91,7,0,327,472,3852,5
"10 January, 2021",2433,1277,0,7,83,13,0,86,492,3710,7
"11 January, 2021",2232,1006,0,5,127,12,0,197,348,3238,5
"12 January, 2021",3309,1469,0,4,208,16,0,439,769,4778,6
"13 January, 2021",2985,994,0,10,151,6,0,296,589,3979,2
"14 January, 2021",3337,1710,0,1,260,12,0,153,921,5047,7
"15 January, 2021",3211,1939,0,15,92,20,0,12,1068,5150,5
"16 January, 2021",4029,2148,0,4,114,6,0,110,1168,6177,8
"17 January, 2021",3339,2676,0,4,140,13,0,162,937,6015,15
"18 January, 2021",3306,2293,0,4,135,40,0,107,854,5599,7
"19 January, 2021",3631,2944,0,19,170,12,0,310,513,6575,7
"20 January, 2021",4008,2374,0,9,225,48,0,113,966,6382,5
"21 January, 2021",3170,2490,0,0,157,48,0,26,346,5660,8
"22 January, 2021",3631,2554,0,15,177,54,0,89,538,6185,6
"23 January, 2021",4275,4313,0,7,211,22,0,68,595,8588,11
"24 January, 2021",3346,4427,0,24,211,8,0,242,537,7773,7
"25 January, 2021",3048,3638,0,13,102,29,0,62,505,6686,8
"26 January, 2021",3585,4076,0,11,209,21,0,59,414,7661,2
"27 January, 2021",3680,1858,0,28,124,25,0,64,1170,5538,6
"28 January, 2021",4094,3281,0,19,129,27,0,27,564,7375,8
"29 January, 2021",5725,3423,0,21,150,10,0,419,1116,9148,7
"30 January, 2021",5728,3805,0,11,154,9,0,132,1337,9533,5
"31 January, 2021",5298,4522,0,8,97,82,0,97,1349,9820,3
"1 February, 2021",4214,4280,0,12,89,55,0,116,917,8494,9
"2 February, 2021",3455,3661,0,16,62,9,0,77,1089,7116,5
"3 February, 2021",4284,3804,0,5,127,14,0,122,1465,8088,6
"4 February, 2021",4571,4092,0,11,149,14,0,237,1268,8663,3
"5 February, 2021",3391,3392,0,6,88,39,0,145,762,6783,4
"6 February, 2021",3847,1692,0,6,120,15,0,133,1020,5539,4
"7 February, 2021",3731,3369,0,2,138,11,0,43,1164,7100,8
"8 February, 2021",3100,2340,0,1,26,14,0,29,1426,5440,1
"9 February, 2021",2764,3887,0,1,22,10,0,51,789,6651,6
"10 February, 2021",3288,1929,0,0,43,23,0,63,1309,5217,5
"11 February, 2021",3384,3774,0,0,94,28,0,93,1388,7158,15
"12 February, 2021",3318,3505,0,0,36,11,0,37,1459,6823,7
"13 February, 2021",3499,3515,0,0,91,16,0,70,1365,7014,1
"14 February, 2021",2464,4525,0,11,79,3,0,54,627,6989,3
"15 February, 2021",2176,4521,0,0,45,9,0,64,497,6697,1
"16 February, 2021",2720,5718,0,0,85,11,0,57,1372,8438,0
"17 February, 2021",2998,5709,0,0,83,63,0,103,1302,8707,7
"18 February, 2021",2712,5320,0,40,35,39,0,43,1118,8032,4
"19 February, 2021",2936,4889,0,5,37,11,0,112,1230,7825,9
"20 February, 2021",2461,4782,0,20,61,3,0,298,743,7243,0
"21 February, 2021",3297,4456,0,7,38,8,0,124,1870,7753,6
"22 February, 2021",2192,3414,0,1,88,7,0,110,824,5606,3
"23 February, 2021",2468,4055,0,0,74,3,0,175,805,6523,4
"24 February, 2021",3545,3331,0,0,70,19,0,29,2338,6876,1
