date,state,cases_new,cases_import,cases_recovered,population,daily
24/2/2021,Johor,318,0,518,3781000,0
24/2/2021,Kedah,17,0,187,2185100,0
24/2/2021,Kelantan,53,0,100,1906700,0
24/2/2021,Melaka,26,0,37,932700,0
24/2/2021,Negeri Sembilan,1392,0,119,1128800,0
24/2/2021,Pahang,8,0,20,1678700,0
24/2/2021,Perak,188,0,95,2510300,0
24/2/2021,Perlis,0,0,1,254900,0
24/2/2021,Pulau Pinang,95,0,95,1773600,0
24/2/2021,Sabah,105,0,189,3908500,0
24/2/2021,Sarawak,353,0,147,2816500,1
24/2/2021,Selangor,581,1,1322,6538000,0
24/2/2021,Terengganu,22,0,63,1259300,0
24/2/2021,W.P. Kuala Lumpur,381,0,432,1773700,41
24/2/2021,W.P. Labuan,5,0,1,99600,0
24/2/2021,W.P. Putrajaya,1,0,5,110000,18
25/2/2021,Johor,257,0,804,3781000,79
25/2/2021,Kedah,29,0,9,2185100,0
25/2/2021,Kelantan,44,0,26,1906700,0
25/2/2021,Melaka,22,0,57,932700,0
25/2/2021,Negeri Sembilan,62,0,96,1128800,0
25/2/2021,Pahang,19,0,24,1678700,122
25/2/2021,Perak,120,0,181,2510300,297
25/2/2021,Perlis,1,0,1,254900,0
25/2/2021,Pulau Pinang,162,0,154,1773600,0
25/2/2021,Sabah,93,0,127,3908500,1
25/2/2021,Sarawak,219,1,244,2816500,2
25/2/2021,Selangor,666,2,1604,6538000,43
25/2/2021,Terengganu,6,0,46,1259300,0
25/2/2021,W.P. Kuala Lumpur,218,3,372,1773700,545
25/2/2021,W.P. Labuan,4,0,2,99600,2
25/2/2021,W.P. Putrajaya,2,0,5,110000,55
26/2/2021,Johor,276,1,721,3781000,0
26/2/2021,Kedah,25,0,55,2185100,6
26/2/2021,Kelantan,73,0,47,1906700,0
26/2/2021,Melaka,13,0,31,932700,259
26/2/2021,Negeri Sembilan,68,0,145,1128800,0
26/2/2021,Pahang,21,0,43,1678700,773
26/2/2021,Perak,545,0,122,2510300,579
26/2/2021,Perlis,4,0,5,254900,165
26/2/2021,Pulau Pinang,93,0,128,1773600,322
26/2/2021,Sabah,129,0,131,3908500,12
26/2/2021,Sarawak,250,0,166,2816500,1360
26/2/2021,Selangor,633,2,1149,6538000,285
26/2/2021,Terengganu,1,0,11,1259300,11
26/2/2021,W.P. Kuala Lumpur,122,4,318,1773700,325
26/2/2021,W.P. Labuan,0,0,5,99600,0
26/2/2021,W.P. Putrajaya,0,0,8,110000,19
27/2/2021,Johor,314,0,820,3781000,2
27/2/2021,Kedah,17,0,65,2185100,38
27/2/2021,Kelantan,68,0,46,1906700,0
27/2/2021,Melaka,17,0,27,932700,16
27/2/2021,Negeri Sembilan,74,0,109,1128800,1
27/2/2021,Pahang,8,0,19,1678700,1766
27/2/2021,Perak,305,0,177,2510300,244
27/2/2021,Perlis,0,0,0,254900,3
27/2/2021,Pulau Pinang,155,0,112,1773600,6
27/2/2021,Sabah,157,0,178,3908500,563
27/2/2021,Sarawak,255,0,258,2816500,3639
27/2/2021,Selangor,862,0,1132,6538000,79
27/2/2021,Terengganu,11,0,30,1259300,1
27/2/2021,W.P. Kuala Lumpur,117,1,344,1773700,224
27/2/2021,W.P. Labuan,0,0,0,99600,136
27/2/2021,W.P. Putrajaya,4,0,3,110000,6
28/2/2021,Johor,340,0,522,3781000,827
28/2/2021,Kedah,13,0,73,2185100,786
28/2/2021,Kelantan,33,0,87,1906700,162
28/2/2021,Melaka,10,0,36,932700,0
28/2/2021,Negeri Sembilan,65,0,32,1128800,0
28/2/2021,Pahang,11,0,9,1678700,100
28/2/2021,Perak,287,0,802,2510300,134
28/2/2021,Perlis,0,0,0,254900,0
28/2/2021,Pulau Pinang,105,0,105,1773600,12
28/2/2021,Sabah,134,0,162,3908500,465
28/2/2021,Sarawak,171,0,216,2816500,3164
28/2/2021,Selangor,914,1,943,6538000,66
28/2/2021,Terengganu,12,0,35,1259300,472
28/2/2021,W.P. Kuala Lumpur,337,0,223,1773700,150
28/2/2021,W.P. Labuan,2,0,3,99600,363
28/2/2021,W.P. Putrajaya,3,0,3,110000,1
1/3/2021,Johor,490,1,246,3781000,2146
1/3/2021,Kedah,16,0,45,2185100,1068
1/3/2021,Kelantan,36,0,44,1906700,1798
1/3/2021,Melaka,8,0,36,932700,157
1/3/2021,Negeri Sembilan,167,0,185,1128800,586
1/3/2021,Pahang,8,0,18,1678700,1210
1/3/2021,Perak,144,0,148,2510300,1890
1/3/2021,Perlis,1,0,3,254900,356
1/3/2021,Pulau Pinang,85,0,131,1773600,450
1/3/2021,Sabah,104,0,73,3908500,127
1/3/2021,Sarawak,220,0,172,2816500,1734
1/3/2021,Selangor,453,1,1006,6538000,610
1/3/2021,Terengganu,15,0,27,1259300,1
1/3/2021,W.P. Kuala Lumpur,75,5,341,1773700,2352
1/3/2021,W.P. Labuan,0,0,3,99600,450
1/3/2021,W.P. Putrajaya,6,0,8,110000,441
2/3/2021,Johor,163,0,434,3781000,1487
2/3/2021,Kedah,11,0,64,2185100,1192
2/3/2021,Kelantan,46,0,52,1906700,2868
2/3/2021,Melaka,11,0,25,932700,1085
2/3/2021,Negeri Sembilan,115,0,203,1128800,1327
2/3/2021,Pahang,3,0,17,1678700,2108
2/3/2021,Perak,63,0,142,2510300,2547
2/3/2021,Perlis,0,0,1,254900,537
2/3/2021,Pulau Pinang,106,0,67,1773600,1043
2/3/2021,Sabah,53,0,85,3908500,370
2/3/2021,Sarawak,159,1,220,2816500,632
2/3/2021,Selangor,672,1,905,6538000,1206
2/3/2021,Terengganu,7,0,33,1259300,2051
2/3/2021,W.P. Kuala Lumpur,145,1,276,1773700,2341
2/3/2021,W.P. Labuan,0,0,0,99600,390
2/3/2021,W.P. Putrajaya,1,0,4,110000,484
3/3/2021,Johor,376,0,394,3781000,2069
3/3/2021,Kedah,40,0,27,2185100,1413
3/3/2021,Kelantan,33,0,83,1906700,3399
3/3/2021,Melaka,36,0,16,932700,1099
3/3/2021,Negeri Sembilan,24,0,45,1128800,1215
3/3/2021,Pahang,36,0,14,1678700,1316
3/3/2021,Perak,136,0,459,2510300,1988
3/3/2021,Perlis,0,0,0,254900,541
3/3/2021,Pulau Pinang,90,0,99,1773600,1105
3/3/2021,Sabah,95,0,94,3908500,300
3/3/2021,Sarawak,139,0,165,2816500,492
3/3/2021,Selangor,640,2,693,6538000,2122
3/3/2021,Terengganu,5,0,71,1259300,2274
3/3/2021,W.P. Kuala Lumpur,92,0,108,1773700,2580
3/3/2021,W.P. Labuan,0,0,7,99600,297
3/3/2021,W.P. Putrajaya,3,0,1,110000,483
4/3/2021,Johor,255,1,381,3781000,1968
4/3/2021,Kedah,12,0,171,2185100,724
4/3/2021,Kelantan,44,0,28,1906700,3408
4/3/2021,Melaka,3,0,38,932700,988
4/3/2021,Negeri Sembilan,91,0,750,1128800,1231
4/3/2021,Pahang,13,0,33,1678700,1131
4/3/2021,Perak,101,0,103,2510300,1028
4/3/2021,Perlis,1,0,2,254900,298
4/3/2021,Pulau Pinang,337,0,130,1773600,1124
4/3/2021,Sabah,78,0,94,3908500,1746
4/3/2021,Sarawak,361,0,279,2816500,453
4/3/2021,Selangor,630,2,717,6538000,2263
4/3/2021,Terengganu,10,0,18,1259300,4
4/3/2021,W.P. Kuala Lumpur,120,6,174,1773700,2436
4/3/2021,W.P. Labuan,0,0,3,99600,209
4/3/2021,W.P. Putrajaya,7,0,1,110000,548
5/3/2021,Johor,463,0,765,3781000,332
5/3/2021,Kedah,9,0,26,2185100,139
5/3/2021,Kelantan,57,0,40,1906700,741
5/3/2021,Melaka,10,0,22,932700,573
5/3/2021,Negeri Sembilan,77,0,108,1128800,535
5/3/2021,Pahang,38,0,23,1678700,2058
5/3/2021,Perak,109,0,563,2510300,1018
5/3/2021,Perlis,1,0,2,254900,330
5/3/2021,Pulau Pinang,119,0,161,1773600,1029
5/3/2021,Sabah,97,0,93,3908500,3071
5/3/2021,Sarawak,250,0,178,2816500,1325
5/3/2021,Selangor,794,2,1110,6538000,2467
5/3/2021,Terengganu,16,0,17,1259300,62
5/3/2021,W.P. Kuala Lumpur,108,3,165,1773700,252
5/3/2021,W.P. Labuan,2,0,1,99600,164
5/3/2021,W.P. Putrajaya,4,0,1,110000,236
6/3/2021,Johor,139,0,232,3781000,718
6/3/2021,Kedah,11,0,45,2185100,108
6/3/2021,Kelantan,35,0,223,1906700,0
6/3/2021,Melaka,10,0,13,932700,0
6/3/2021,Negeri Sembilan,89,0,129,1128800,0
6/3/2021,Pahang,17,0,31,1678700,3242
6/3/2021,Perak,68,0,247,2510300,799
6/3/2021,Perlis,0,0,0,254900,0
6/3/2021,Pulau Pinang,84,0,122,1773600,120
6/3/2021,Sabah,74,0,105,3908500,3928
6/3/2021,Sarawak,221,0,210,2816500,3590
6/3/2021,Selangor,826,0,998,6538000,3084
6/3/2021,Terengganu,22,0,7,1259300,106
