date,deaths_new,deaths_new_dod,deaths_bid,deaths_bid_dod
1/1/2021,3,12,0,1
2/1/2021,9,9,1,1
3/1/2021,11,8,1,1
4/1/2021,7,10,0,1
5/1/2021,11,10,3,2
6/1/2021,1,17,1,3
7/1/2021,8,6,1,2
8/1/2021,16,12,3,1
9/1/2021,5,8,0,1
10/1/2021,9,12,1,3
11/1/2021,4,3,1,1
12/1/2021,4,10,0,1
13/1/2021,4,9,2,4
14/1/2021,15,13,2,3
15/1/2021,8,14,0,3
16/1/2021,8,15,1,2
17/1/2021,7,11,1,3
18/1/2021,4,16,0,1
19/1/2021,14,10,1,2
20/1/2021,11,20,1,5
21/1/2021,12,15,2,5
22/1/2021,18,16,4,3
23/1/2021,7,15,0,1
24/1/2021,11,11,2,1
25/1/2021,11,16,3,4
26/1/2021,11,20,2,2
27/1/2021,7,16,0,6
28/1/2021,10,12,2,0
29/1/2021,16,19,5,2
30/1/2021,13,13,3,2
31/1/2021,14,18,2,2
1/2/2021,10,15,0,2
2/2/2021,21,14,0,1
3/2/2021,18,20,4,3
4/2/2021,17,22,3,2
5/2/2021,19,8,2,2
6/2/2021,12,16,3,1
7/2/2021,15,12,3,0
8/2/2021,24,23,6,6
9/2/2021,13,13,0,0
10/2/2021,14,11,0,2
11/2/2021,1,13,0,0
12/2/2021,18,6,1,0
13/2/2021,6,15,1,2
14/2/2021,8,9,0,1
15/2/2021,11,14,0,3
16/2/2021,9,12,1,1
17/2/2021,23,7,2,1
18/2/2021,1,7,0,2
19/2/2021,39,9,7,1
20/2/2021,9,8,1,0
21/2/2021,6,5,1,0
22/2/2021,7,10,2,1
23/2/2021,20,5,6,1
24/2/2021,12,5,1,0
25/2/2021,13,6,2,1
26/2/2021,10,3,5,0
27/2/2021,10,10,2,1
28/2/2021,9,5,0,0
1/3/2021,5,4,0,0
2/3/2021,6,9,1,2
3/3/2021,7,4,0,0
4/3/2021,5,3,0,0
5/3/2021,6,9,1,1
6/3/2021,7,4,0,0
7/3/2021,3,5,0,0
8/3/2021,8,6,1,1
9/3/2021,9,8,2,0
10/3/2021,5,7,0,1
11/3/2021,9,4,1,0
12/3/2021,3,3,1,0
13/3/2021,3,3,0,0
14/3/2021,4,3,0,0
15/3/2021,3,5,0,0
16/3/2021,5,3,0,0
17/3/2021,2,2,0,0
18/3/2021,3,2,0,1
19/3/2021,2,1,0,0
20/3/2021,4,5,0,1
21/3/2021,4,6,0,1
22/3/2021,5,4,1,0
23/3/2021,1,2,0,2
24/3/2021,2,4,0,1
25/3/2021,2,2,0,0
26/3/2021,1,1,0,0
27/3/2021,2,8,2,1
28/3/2021,4,3,0,0
29/3/2021,5,4,0,2
30/3/2021,4,6,0,0
31/3/2021,8,9,1,2
1/4/2021,6,3,2,0
2/4/2021,5,2,1,0
3/4/2021,3,5,1,0
4/4/2021,2,6,0,0
5/4/2021,7,4,0,1
6/4/2021,5,3,0,1
7/4/2021,4,2,0,0
8/4/2021,4,6,0,3
9/4/2021,5,7,2,2
10/4/2021,8,3,0,1
11/4/2021,8,6,1,3
12/4/2021,4,11,1,0
13/4/2021,12,5,5,1
14/4/2021,8,5,0,0
15/4/2021,10,4,1,0
16/4/2021,2,6,0,0
17/4/2021,5,11,0,2
18/4/2021,8,8,0,3
19/4/2021,8,9,0,2
20/4/2021,3,10,0,2
21/4/2021,11,9,3,1
22/4/2021,7,6,0,3
23/4/2021,8,15,3,4
24/4/2021,11,8,2,3
25/4/2021,10,21,0,2
26/4/2021,13,14,2,1
27/4/2021,13,10,2,2
28/4/2021,15,14,3,2
29/4/2021,15,22,3,3
30/4/2021,14,21,3,1
