date,state,beds,beds_covid,beds_noncrit,admitted_pui,admitted_covid,admitted_total,discharged_pui,discharged_covid,discharged_total,hosp_covid,hosp_pui,hosp_noncovid
1/1/2021,Johor,3162,705,3079,17,106,123,4,38,42,481,55,71
1/1/2021,Kedah,1298,213,1265,9,12,21,0,25,25,92,18,828
1/1/2021,Kelantan,1498,378,1425,2,44,46,4,15,19,232,4,927
1/1/2021,Melaka,1091,187,1039,2,7,9,4,9,13,88,10,767
1/1/2021,Negeri Sembilan,1331,633,1309,1,26,27,0,33,33,292,2,605
1/1/2021,Pahang,1889,236,1836,6,19,25,1,16,17,87,10,885
1/1/2021,Perak,2619,341,2549,1,25,26,2,12,14,118,17,1476
1/1/2021,Perlis,495,29,482,7,0,7,6,1,7,0,17,279
1/1/2021,Pulau Pinang,1292,148,1251,0,36,36,0,6,6,125,0,769
1/1/2021,Sabah,2790,1189,2656,17,79,96,25,52,77,574,108,1090
1/1/2021,Sarawak,2390,328,2319,24,8,32,26,0,26,22,36,1551
1/1/2021,Selangor,887,630,827,14,127,141,13,132,145,491,28,15
1/1/2021,Terengganu,1202,179,1179,7,23,30,5,3,8,44,20,775
1/1/2021,W.P. Kuala Lumpur,3154,937,3011,7,34,41,5,84,89,328,17,1405
1/1/2021,W.P. Labuan,122,25,112,0,3,3,1,1,2,10,4,50
2/1/2021,Johor,3162,705,3079,9,156,165,6,63,69,500,48,104
2/1/2021,Kedah,1298,213,1265,3,29,32,1,23,24,107,11,814
2/1/2021,Kelantan,1498,378,1425,0,50,50,4,21,25,253,0,780
2/1/2021,Melaka,1091,187,1039,5,46,51,4,10,14,124,15,732
2/1/2021,Negeri Sembilan,1331,633,1309,0,68,68,1,32,33,309,1,566
2/1/2021,Pahang,1889,236,1836,2,17,19,6,11,17,93,6,909
2/1/2021,Perak,2619,341,2549,3,9,12,1,12,13,116,15,1377
2/1/2021,Perlis,495,29,482,2,1,3,3,0,3,1,15,266
2/1/2021,Pulau Pinang,1292,148,1251,0,33,33,0,14,14,126,0,752
2/1/2021,Sabah,2790,1189,2656,15,97,112,28,69,97,566,92,1035
2/1/2021,Sarawak,2390,328,2319,23,6,29,17,2,19,25,41,1554
2/1/2021,Selangor,887,630,827,9,100,109,3,108,111,486,30,17
2/1/2021,Terengganu,1202,179,1179,8,9,17,6,4,10,49,22,770
2/1/2021,W.P. Kuala Lumpur,3154,949,3011,14,41,55,1,87,88,273,29,1280
2/1/2021,W.P. Labuan,122,25,112,0,0,0,0,2,2,7,4,47
3/1/2021,Johor,3162,705,3079,5,94,99,6,46,52,518,50,109
3/1/2021,Kedah,1298,213,1265,7,39,46,0,11,11,108,18,827
3/1/2021,Kelantan,1498,409,1425,2,25,27,0,23,23,251,2,787
3/1/2021,Melaka,1091,187,1039,2,7,9,0,6,6,125,17,715
3/1/2021,Negeri Sembilan,1331,633,1309,2,88,90,0,35,35,356,3,575
3/1/2021,Pahang,1889,236,1836,3,30,33,4,18,22,104,5,859
3/1/2021,Perak,2619,341,2549,1,33,34,1,9,10,135,18,1339
3/1/2021,Perlis,495,29,482,3,0,3,6,0,6,1,12,274
3/1/2021,Pulau Pinang,1292,148,1251,0,28,28,0,11,11,127,0,751
3/1/2021,Sabah,2790,1189,2656,37,118,155,19,64,83,588,107,1090
3/1/2021,Sarawak,2390,328,2319,22,7,29,20,0,20,31,44,1559
3/1/2021,Selangor,887,630,827,6,145,151,7,126,133,505,26,17
3/1/2021,Terengganu,1202,179,1179,1,13,14,4,4,8,58,19,836
3/1/2021,W.P. Kuala Lumpur,3154,949,3011,9,58,67,1,46,47,271,32,1280
3/1/2021,W.P. Labuan,122,25,112,1,0,1,0,1,1,9,6,47
4/1/2021,Johor,3162,705,3079,10,95,105,10,48,58,474,40,107
4/1/2021,Kedah,1298,213,1265,12,52,64,2,37,39,132,18,829
4/1/2021,Kelantan,1498,409,1425,5,30,35,0,19,19,265,7,785
4/1/2021,Melaka,1091,187,1039,4,18,22,7,14,21,128,13,738
4/1/2021,Negeri Sembilan,1331,633,1309,4,71,75,0,23,23,373,7,527
4/1/2021,Pahang,1889,236,1836,4,20,24,2,8,10,116,7,895
4/1/2021,Perak,2619,341,2549,3,17,20,3,17,20,130,13,1398
4/1/2021,Perlis,495,29,482,2,0,2,3,0,3,3,9,287
4/1/2021,Pulau Pinang,1292,179,1251,0,27,27,0,8,8,143,0,782
4/1/2021,Sabah,2790,1189,2656,29,115,144,24,30,54,613,109,1144
4/1/2021,Sarawak,2390,328,2319,29,10,39,28,0,28,30,46,1636
4/1/2021,Selangor,887,630,827,2,106,108,8,114,122,497,16,17
4/1/2021,Terengganu,1202,179,1179,2,5,7,2,3,5,60,19,835
4/1/2021,W.P. Kuala Lumpur,3154,949,3011,11,59,70,8,26,34,281,29,1360
4/1/2021,W.P. Labuan,122,25,112,3,0,3,0,0,0,7,8,57
5/1/2021,Johor,3162,705,3079,6,142,148,5,27,32,522,40,109
5/1/2021,Kedah,1298,213,1265,12,39,51,1,9,10,153,22,855
5/1/2021,Kelantan,1498,409,1425,1,38,39,3,59,62,242,5,794
5/1/2021,Melaka,1091,187,1039,4,27,31,2,15,17,139,15,774
5/1/2021,Negeri Sembilan,1331,633,1309,0,70,70,1,30,31,423,6,536
5/1/2021,Pahang,1889,236,1836,2,33,35,4,17,21,132,5,989
5/1/2021,Perak,2619,341,2549,1,11,12,2,12,14,122,13,1495
5/1/2021,Perlis,495,29,482,4,1,5,3,0,3,4,10,303
5/1/2021,Pulau Pinang,1292,179,1251,0,32,32,0,6,6,166,0,859
5/1/2021,Sabah,2790,1189,2656,36,101,137,25,38,63,624,113,1196
5/1/2021,Sarawak,2390,328,2319,32,13,45,19,8,27,26,59,1718
5/1/2021,Selangor,887,630,827,6,137,143,9,130,139,501,11,17
5/1/2021,Terengganu,1202,179,1179,5,6,11,4,0,4,66,18,898
5/1/2021,W.P. Kuala Lumpur,3154,949,3011,6,66,72,1,67,68,287,25,1386
5/1/2021,W.P. Labuan,122,25,112,0,1,1,0,2,2,6,4,57
6/1/2021,Johor,3162,705,3079,12,135,147,6,60,66,554,42,102
6/1/2021,Kedah,1298,213,1265,12,29,41,2,31,33,165,21,870
6/1/2021,Kelantan,1498,409,1425,1,28,29,5,33,38,237,2,817
6/1/2021,Melaka,1091,187,1039,11,22,33,7,38,45,121,19,796
6/1/2021,Negeri Sembilan,1331,633,1309,4,70,74,3,48,51,392,5,636
6/1/2021,Pahang,1889,236,1836,2,18,20,1,18,19,132,6,1045
6/1/2021,Perak,2619,341,2549,2,15,17,2,11,13,121,13,1578
6/1/2021,Perlis,495,29,482,3,0,3,3,0,3,4,10,311
6/1/2021,Pulau Pinang,1292,179,1251,0,29,29,0,15,15,165,0,897
6/1/2021,Sabah,2790,1189,2656,31,114,145,18,60,78,608,121,1144
6/1/2021,Sarawak,2390,328,2319,34,5,39,25,1,26,29,69,1760
6/1/2021,Selangor,887,630,827,5,148,153,2,140,142,508,13,16
6/1/2021,Terengganu,1202,179,1179,0,11,11,5,7,12,70,13,836
6/1/2021,W.P. Kuala Lumpur,3154,963,3091,3,61,64,2,25,27,296,20,1457
