date,state,beds_icu,beds_icu_rep,beds_icu_total,beds_icu_covid,vent,vent_port,icu_covid,icu_pui,icu_noncovid,vent_covid,vent_pui,vent_noncovid,vent_used,vent_port_used
1/1/2021,Johor,51,32,83,43,96,63,30,1,25,19,1,0,46,0
1/1/2021,Kedah,33,0,33,21,63,31,9,0,12,3,0,0,37,0
1/1/2021,Kelantan,47,26,73,27,62,32,3,0,37,0,0,0,53,0
1/1/2021,Melaka,52,0,52,12,54,7,5,2,37,2,2,0,34,0
1/1/2021,Negeri Sembilan,22,0,22,11,62,22,1,0,7,0,0,0,25,0
1/1/2021,Pahang,47,6,53,39,62,21,1,0,30,0,0,0,47,0
1/1/2021,Perak,70,0,70,52,96,59,9,0,48,1,0,0,88,0
1/1/2021,Perlis,13,0,13,4,20,12,0,0,8,0,0,0,14,0
1/1/2021,Pulau Pinang,30,11,41,13,35,22,10,0,16,4,0,0,32,0
1/1/2021,Sabah,70,64,134,115,111,82,59,1,13,16,1,0,56,0
1/1/2021,Sarawak,49,22,71,26,78,91,0,0,52,0,0,0,61,0
1/1/2021,Selangor,42,18,60,60,92,48,49,0,0,33,0,0,33,0
1/1/2021,Terengganu,23,0,23,12,41,16,1,0,18,0,0,0,24,0
1/1/2021,W.P. Kuala Lumpur,61,82,143,26,169,25,13,3,30,4,3,0,34,0
1/1/2021,W.P. Labuan,5,5,10,5,6,5,2,0,0,2,0,0,2,0
2/1/2021,Johor,51,32,83,43,96,63,31,1,26,20,1,0,55,0
2/1/2021,Kedah,33,0,33,21,63,31,8,1,10,3,1,0,37,0
2/1/2021,Kelantan,47,26,73,27,62,32,5,0,34,0,0,0,42,0
2/1/2021,Melaka,52,0,52,12,54,7,5,2,38,2,2,0,35,0
2/1/2021,Negeri Sembilan,22,0,22,11,62,22,0,0,10,0,0,0,32,0
2/1/2021,Pahang,47,6,53,39,62,21,3,0,21,1,0,0,45,0
2/1/2021,Perak,70,0,70,52,96,59,10,0,50,2,0,0,88,0
2/1/2021,Perlis,13,0,13,4,20,12,0,0,8,0,0,0,17,0
2/1/2021,Pulau Pinang,30,11,41,13,35,22,12,0,14,6,0,0,29,0
2/1/2021,Sabah,70,64,134,115,111,82,55,1,17,14,1,0,51,0
2/1/2021,Sarawak,49,22,71,26,78,91,0,0,47,0,0,0,60,0
2/1/2021,Selangor,42,18,60,60,92,48,47,0,0,28,0,0,28,0
2/1/2021,Terengganu,23,0,23,12,41,16,1,0,18,0,0,0,25,0
2/1/2021,W.P. Kuala Lumpur,61,82,143,26,169,25,15,8,23,5,8,0,39,0
2/1/2021,W.P. Labuan,5,5,10,5,6,5,3,0,1,3,0,0,3,0
3/1/2021,Johor,51,32,83,43,96,63,32,1,27,20,1,0,59,0
3/1/2021,Kedah,33,0,33,21,63,31,8,1,11,2,1,0,39,0
3/1/2021,Kelantan,47,26,73,27,62,32,9,0,30,0,0,0,47,0
3/1/2021,Melaka,52,0,52,12,54,7,4,3,42,2,3,0,35,0
3/1/2021,Negeri Sembilan,22,0,22,11,62,22,2,0,7,2,0,0,20,0
3/1/2021,Pahang,47,6,53,39,62,21,3,0,20,0,0,0,40,0
3/1/2021,Perak,70,0,70,52,96,59,9,0,46,2,0,0,87,0
3/1/2021,Perlis,13,0,13,4,20,12,0,0,4,0,0,0,12,0
3/1/2021,Pulau Pinang,30,11,41,13,35,22,11,1,14,6,0,0,27,0
3/1/2021,Sabah,70,64,134,115,111,82,55,1,22,16,1,0,50,0
3/1/2021,Sarawak,49,22,71,26,78,91,0,0,50,0,0,0,72,0
3/1/2021,Selangor,42,18,60,60,92,48,50,0,0,32,0,0,32,0
3/1/2021,Terengganu,23,0,23,12,41,16,0,0,17,0,0,0,23,0
3/1/2021,W.P. Kuala Lumpur,61,82,143,26,169,25,16,7,27,7,7,0,37,0
3/1/2021,W.P. Labuan,5,5,10,5,6,5,3,0,1,0,0,0,3,0
4/1/2021,Johor,51,32,83,43,96,63,34,1,27,25,1,0,68,0
4/1/2021,Kedah,33,0,33,21,63,31,9,2,11,2,1,0,47,0
4/1/2021,Kelantan,47,26,73,27,62,32,6,0,32,0,0,0,41,0
4/1/2021,Melaka,52,0,52,12,54,7,3,2,45,2,2,0,34,0
4/1/2021,Negeri Sembilan,22,0,22,11,62,22,2,0,6,2,0,0,20,0
4/1/2021,Pahang,47,6,53,39,62,21,1,0,22,0,0,0,40,0
4/1/2021,Perak,70,0,70,52,96,59,8,0,45,2,0,0,82,0
4/1/2021,Perlis,13,0,13,4,20,12,0,0,5,0,0,0,10,0
4/1/2021,Pulau Pinang,30,11,41,13,35,22,10,0,14,7,0,0,28,0
4/1/2021,Sabah,70,64,134,115,111,82,52,1,21,15,1,0,52,0
4/1/2021,Sarawak,49,22,71,26,78,91,0,0,48,0,0,0,68,0
4/1/2021,Selangor,42,18,60,60,92,48,50,0,0,34,0,0,34,0
4/1/2021,Terengganu,23,0,23,12,41,16,0,0,20,0,0,0,24,0
4/1/2021,W.P. Kuala Lumpur,61,82,143,26,169,25,19,7,19,8,7,0,36,0
4/1/2021,W.P. Labuan,5,5,10,5,6,5,3,0,1,2,0,0,4,0
5/1/2021,Johor,51,32,83,43,96,63,25,1,28,21,1,0,59,0
5/1/2021,Kedah,33,0,33,21,63,31,10,0,1,3,0,0,51,0
5/1/2021,Kelantan,47,26,73,27,62,32,8,0,29,1,0,0,43,0
5/1/2021,Melaka,52,0,52,12,54,7,4,0,44,3,0,0,36,0
5/1/2021,Negeri Sembilan,22,0,22,11,62,22,2,0,6,2,0,0,24,0
5/1/2021,Pahang,47,6,53,39,62,21,3,0,25,0,0,0,37,0
5/1/2021,Perak,70,0,70,52,96,59,10,0,41,3,0,0,76,0
5/1/2021,Perlis,13,0,13,4,20,12,0,0,9,0,0,0,17,0
5/1/2021,Pulau Pinang,30,11,41,13,35,22,11,0,14,7,0,0,28,0
5/1/2021,Sabah,70,64,134,115,111,82,55,2,16,16,2,0,57,0
5/1/2021,Sarawak,49,22,71,26,78,91,0,0,57,0,0,0,71,0
5/1/2021,Selangor,42,18,60,60,92,48,50,0,0,33,0,0,33,0
5/1/2021,Terengganu,23,0,23,12,41,16,0,0,18,0,0,0,22,0
5/1/2021,W.P. Kuala Lumpur,61,82,143,26,169,25,18,8,16,9,8,0,34,0
5/1/2021,W.P. Labuan,5,5,10,5,6,5,2,0,3,2,0,0,5,0
6/1/2021,Johor,51,32,83,43,96,63,37,1,19,29,1,0,72,0
6/1/2021,Kedah,33,0,33,21,63,31,9,0,14,3,0,0,52,0
6/1/2021,Kelantan,47,26,73,27,62,32,8,0,28,1,0,0,42,0
6/1/2021,Melaka,52,0,52,12,54,7,4,2,38,2,2,0,33,0
6/1/2021,Negeri Sembilan,22,0,22,11,62,22,2,0,5,2,0,0,21,0
6/1/2021,Pahang,47,6,53,39,62,21,6,0,23,2,0,0,40,0
6/1/2021,Perak,70,0,70,29,96,59,10,0,48,4,0,0,80,0
6/1/2021,Perlis,13,0,13,4,20,12,0,0,6,0,0,0,11,0
6/1/2021,Pulau Pinang,30,11,41,13,35,22,12,0,13,5,0,0,28,0
6/1/2021,Sabah,70,64,134,115,111,82,60,2,26,19,2,0,57,0
6/1/2021,Sarawak,49,22,71,26,78,91,0,0,52,0,0,0,61,0
6/1/2021,Selangor,42,18,60,60,92,48,50,0,0,36,0,0,36,0
6/1/2021,Terengganu,23,0,23,12,41,16,1,0,17,0,0,0,25,0
6/1/2021,W.P. Kuala Lumpur,52,11,63,26,169,25,20,7,16,12,7,0,33,0
6/1/2021,W.P. Labuan,5,5,10,5,6,5,2,0,5,2,0,0,7,0
6/1/2021,W.P. Putrajaya,11,9,20,8,28,6,9,0,4,3,0,0,0,0
7/1/2021,Johor,51,32,83,43,96,63,36,0,21,31,0,0,72,0
7/1/2021,Kedah,33,0,33,21,63,31,9,1,13,3,1,0,51,0
7/1/2021,Kelantan,47,26,73,27,62,32,7,0,26,1,0,0,38,0
7/1/2021,Melaka,52,0,52,12,54,7,4,2,41,2,2,0,33,0
7/1/2021,Negeri Sembilan,22,0,22,11,62,22,3,0,6,2,0,0,22,0
7/1/2021,Pahang,47,6,53,39,62,21,4,0,26,2,0,0,48,0
7/1/2021,Perak,70,0,70,29,96,59,10,0,44,4,0,0,79,0
7/1/2021,Perlis,13,0,13,4,20,12,0,0,8,0,0,0,15,0
7/1/2021,Pulau Pinang,30,11,41,13,35,22,12,0,14,3,0,0,24,0
7/1/2021,Sabah,70,64,134,115,111,82,62,1,21,15,1,0,62,0
7/1/2021,Sarawak,49,22,71,26,78,91,0,0,55,0,0,0,70,0
7/1/2021,Selangor,42,18,60,60,92,48,52,0,0,34,0,0,34,0
7/1/2021,Terengganu,23,0,23,12,41,16,1,0,19,0,0,0,30,0
7/1/2021,W.P. Kuala Lumpur,52,11,63,26,169,25,18,0,25,12,0,0,32,0
7/1/2021,W.P. Labuan,5,5,10,5,6,5,2,0,5,2,0,0,6,0
7/1/2021,W.P. Putrajaya,11,9,20,8,28,6,10,0,6,10,0,0,0,0
8/1/2021,Johor,51,32,83,43,96,63,34,0,23,28,0,0,69,0
8/1/2021,Kedah,33,0,33,21,63,31,11,0,14,3,0,0,53,0
8/1/2021,Kelantan,47,26,73,27,62,32,7,0,27,1,0,0,42,0
8/1/2021,Melaka,42,10,52,12,54,7,5,2,41,3,2,0,36,0
