date,state,cases_new
2021-01-03,Johor,490
2021-01-03,Kedah,16
2021-01-03,Kelantan,36
2021-01-03,Melaka,8
2021-01-03,Negeri Sembilan,167
2021-01-03,Pahang,8
2021-01-03,Perak,144
2021-01-03,Perlis,1
2021-01-03,Pulau Pinang,85
2021-01-03,Sabah,104
2021-01-03,Sarawak,220
2021-01-03,Selangor,453
2021-01-03,Terengganu,15
2021-01-03,W.P. Kuala Lumpur,75
2021-01-03,W.P. Labuan,0
2021-01-03,W.P. Putrajaya,6
2021-01-04,Johor,165
2021-01-04,Kedah,32
2021-01-04,Kelantan,27
2021-01-04,Melaka,9
2021-01-04,Negeri Sembilan,34
2021-01-04,Pahang,14
2021-01-04,Perak,31
2021-01-04,Perlis,0
2021-01-04,Pulau Pinang,190
2021-01-04,Sabah,86
2021-01-04,Sarawak,238
2021-01-04,Selangor,237
2021-01-04,Terengganu,6
2021-01-04,W.P. Kuala Lumpur,101
2021-01-04,W.P. Labuan,7
2021-01-04,W.P. Putrajaya,1
2021-01-05,Johor,310
2021-01-05,Kedah,111
2021-01-05,Kelantan,442
2021-01-05,Melaka,54
2021-01-05,Negeri Sembilan,89
2021-01-05,Pahang,47
2021-01-05,Perak,64
2021-01-05,Perlis,0
2021-01-05,Pulau Pinang,133
2021-01-05,Sabah,64
2021-01-05,Sarawak,445
2021-01-05,Selangor,759
2021-01-05,Terengganu,42
2021-01-05,W.P. Kuala Lumpur,315
2021-01-05,W.P. Labuan,3
2021-01-05,W.P. Putrajaya,3
2021-01-06,Johor,431
2021-01-06,Kedah,236
2021-01-06,Kelantan,531
2021-01-06,Melaka,249
2021-01-06,Negeri Sembilan,397
2021-01-06,Pahang,190
2021-01-06,Perak,387
2021-01-06,Perlis,0
2021-01-06,Pulau Pinang,400
2021-01-06,Sabah,318
2021-01-06,Sarawak,703
2021-01-06,Selangor,2068
2021-01-06,Terengganu,198
2021-01-06,W.P. Kuala Lumpur,817
2021-01-06,W.P. Labuan,162
2021-01-06,W.P. Putrajaya,18
2021-01-07,Johor,270
2021-01-07,Kedah,250
2021-01-07,Kelantan,108
2021-01-07,Melaka,311
2021-01-07,Negeri Sembilan,692
2021-01-07,Pahang,195
2021-01-07,Perak,149
2021-01-07,Perlis,1
2021-01-07,Pulau Pinang,174
2021-01-07,Sabah,232
2021-01-07,Sarawak,544
2021-01-07,Selangor,2885
2021-01-07,Terengganu,50
2021-01-07,W.P. Kuala Lumpur,988
2021-01-07,W.P. Labuan,129
2021-01-07,W.P. Putrajaya,10
2021-01-08,Johor,1045
2021-01-08,Kedah,1511
2021-01-08,Kelantan,459
2021-01-08,Melaka,686
2021-01-08,Negeri Sembilan,809
2021-01-08,Pahang,676
2021-01-08,Perak,693
2021-01-08,Perlis,21
2021-01-08,Pulau Pinang,752
2021-01-08,Sabah,1002
2021-01-08,Sarawak,578
2021-01-08,Selangor,6326
2021-01-08,Terengganu,429
2021-01-08,W.P. Kuala Lumpur,2086
2021-01-08,W.P. Labuan,5
2021-01-08,W.P. Putrajaya,72
2021-01-09,Johor,1993
2021-01-09,Kedah,1585
2021-01-09,Kelantan,1504
2021-01-09,Melaka,309
2021-01-09,Negeri Sembilan,291
2021-01-09,Pahang,715
2021-01-09,Perak,899
2021-01-09,Perlis,33
2021-01-09,Pulau Pinang,1762
2021-01-09,Sabah,2430
2021-01-09,Sarawak,2414
2021-01-09,Selangor,3711
2021-01-09,Terengganu,506
2021-01-09,W.P. Kuala Lumpur,573
2021-01-09,W.P. Labuan,3
2021-01-09,W.P. Putrajaya,34
2021-02-03,Johor,163
2021-02-03,Kedah,11
2021-02-03,Kelantan,46
2021-02-03,Melaka,11
2021-02-03,Negeri Sembilan,115
2021-02-03,Pahang,3
2021-02-03,Perak,63
2021-02-03,Perlis,0
2021-02-03,Pulau Pinang,106
2021-02-03,Sabah,53
2021-02-03,Sarawak,159
2021-02-03,Selangor,672
2021-02-03,Terengganu,7
