date,state,daily
2021-01-03,Johor,2146
2021-01-03,Kedah,1068
2021-01-03,Kelantan,1798
2021-01-03,Melaka,157
2021-01-03,Negeri Sembilan,586
2021-01-03,Pahang,1210
2021-01-03,Perak,1890
2021-01-03,Perlis,356
2021-01-03,Pulau Pinang,450
2021-01-03,Sabah,127
2021-01-03,Sarawak,1734
2021-01-03,Selangor,610
2021-01-03,Terengganu,1
2021-01-03,W.P. Kuala Lumpur,2352
2021-01-03,W.P. Labuan,450
2021-01-03,W.P. Putrajaya,441
2021-01-04,Johor,4331
2021-01-04,Kedah,2884
2021-01-04,Kelantan,829
2021-01-04,Melaka,1686
2021-01-04,Negeri Sembilan,1446
2021-01-04,Pahang,2062
2021-01-04,Perak,4678
2021-01-04,Perlis,1153
2021-01-04,Pulau Pinang,2933
2021-01-04,Sabah,2279
2021-01-04,Sarawak,4409
2021-01-04,Selangor,6818
2021-01-04,Terengganu,846
2021-01-04,W.P. Kuala Lumpur,5088
2021-01-04,W.P. Labuan,109
2021-01-04,W.P. Putrajaya,748
2021-01-05,Johor,5
2021-01-05,Kedah,510
2021-01-05,Kelantan,0
2021-01-05,Melaka,0
2021-01-05,Negeri Sembilan,6
2021-01-05,Pahang,421
2021-01-05,Perak,0
2021-01-05,Perlis,0
2021-01-05,Pulau Pinang,69
2021-01-05,Sabah,1537
2021-01-05,Sarawak,2794
2021-01-05,Selangor,0
2021-01-05,Terengganu,0
2021-01-05,W.P. Kuala Lumpur,36
2021-01-05,W.P. Labuan,0
2021-01-05,W.P. Putrajaya,0
2021-01-06,Johor,9977
2021-01-06,Kedah,9189
2021-01-06,Kelantan,9271
2021-01-06,Melaka,2864
2021-01-06,Negeri Sembilan,4451
2021-01-06,Pahang,4856
2021-01-06,Perak,8219
2021-01-06,Perlis,2019
2021-01-06,Pulau Pinang,4683
2021-01-06,Sabah,2447
2021-01-06,Sarawak,409
2021-01-06,Selangor,16168
2021-01-06,Terengganu,5209
2021-01-06,W.P. Kuala Lumpur,17995
2021-01-06,W.P. Labuan,391
2021-01-06,W.P. Putrajaya,1533
2021-01-07,Johor,19401
2021-01-07,Kedah,9774
2021-01-07,Kelantan,9650
2021-01-07,Melaka,7763
2021-01-07,Negeri Sembilan,10990
2021-01-07,Pahang,8081
2021-01-07,Perak,15964
2021-01-07,Perlis,2141
2021-01-07,Pulau Pinang,14254
2021-01-07,Sabah,10753
2021-01-07,Sarawak,50974
2021-01-07,Selangor,55094
2021-01-07,Terengganu,5190
2021-01-07,W.P. Kuala Lumpur,45530
2021-01-07,W.P. Labuan,2069
2021-01-07,W.P. Putrajaya,1738
2021-01-08,Johor,44954
2021-01-08,Kedah,23713
2021-01-08,Kelantan,25892
2021-01-08,Melaka,2591
2021-01-08,Negeri Sembilan,23164
2021-01-08,Pahang,12962
2021-01-08,Perak,24978
2021-01-08,Perlis,2173
2021-01-08,Pulau Pinang,21430
2021-01-08,Sabah,31541
2021-01-08,Sarawak,30473
2021-01-08,Selangor,154482
2021-01-08,Terengganu,14233
2021-01-08,W.P. Kuala Lumpur,73478
2021-01-08,W.P. Labuan,695
2021-01-08,W.P. Putrajaya,4884
2021-01-09,Johor,61003
2021-01-09,Kedah,34291
2021-01-09,Kelantan,37709
2021-01-09,Melaka,17681
2021-01-09,Negeri Sembilan,13631
2021-01-09,Pahang,27976
2021-01-09,Perak,40898
2021-01-09,Perlis,4559
2021-01-09,Pulau Pinang,27051
2021-01-09,Sabah,44945
2021-01-09,Sarawak,3176
2021-01-09,Selangor,41559
2021-01-09,Terengganu,22097
2021-01-09,W.P. Kuala Lumpur,31716
2021-01-09,W.P. Labuan,359
2021-01-09,W.P. Putrajaya,489
2021-02-03,Johor,1487
2021-02-03,Kedah,1192
2021-02-03,Kelantan,2868
2021-02-03,Melaka,1085
2021-02-03,Negeri Sembilan,1327
2021-02-03,Pahang,2108
2021-02-03,Perak,2547
2021-02-03,Perlis,537
2021-02-03,Pulau Pinang,1043
2021-02-03,Sabah,370
2021-02-03,Sarawak,632
2021-02-03,Selangor,1206
2021-02-03,Terengganu,2051
2021-02-03,W.P. Kuala Lumpur,2341
2021-02-03,W.P. Labuan,390
2021-02-03,W.P. Putrajaya,484
2021-02-04,Johor,1192
2021-02-04,Kedah,615
2021-02-04,Kelantan,84
2021-02-04,Melaka,1395
2021-02-04,Negeri Sembilan,1590
2021-02-04,Pahang,2559
2021-02-04,Perak,6256
2021-02-04,Perlis,855
2021-02-04,Pulau Pinang,3151
2021-02-04,Sabah,1462
2021-02-04,Sarawak,2707
2021-02-04,Selangor,4989
2021-02-04,Terengganu,0
2021-02-04,W.P. Kuala Lumpur,3165
2021-02-04,W.P. Labuan,142
2021-02-04,W.P. Putrajaya,278
2021-02-05,Johor,6054
2021-02-05,Kedah,3204
2021-02-05,Kelantan,0
2021-02-05,Melaka,0
2021-02-05,Negeri Sembilan,0
2021-02-05,Pahang,0
2021-02-05,Perak,1376
2021-02-05,Perlis,0
2021-02-05,Pulau Pinang,378
2021-02-05,Sabah,1188
2021-02-05,Sarawak,3508
2021-02-05,Selangor,0
2021-02-05,Terengganu,3
2021-02-05,W.P. Kuala Lumpur,0
2021-02-05,W.P. Labuan,0
2021-02-05,W.P. Putrajaya,0
2021-02-06,Johor,9377
2021-02-06,Kedah,10845
2021-02-06,Kelantan,8674
2021-02-06,Melaka,2979
2021-02-06,Negeri Sembilan,3361
2021-02-06,Pahang,5055
2021-02-06,Perak,7787
2021-02-06,Perlis,2136
2021-02-06,Pulau Pinang,4903
2021-02-06,Sabah,8261
2021-02-06,Sarawak,547
2021-02-06,Selangor,18574
2021-02-06,Terengganu,4637
2021-02-06,W.P. Kuala Lumpur,17059
2021-02-06,W.P. Labuan,796
2021-02-06,W.P. Putrajaya,1679
2021-02-07,Johor,9459
2021-02-07,Kedah,5296
2021-02-07,Kelantan,1042
2021-02-07,Melaka,7856
2021-02-07,Negeri Sembilan,10636
2021-02-07,Pahang,6990
2021-02-07,Perak,19410
2021-02-07,Perlis,1714
2021-02-07,Pulau Pinang,15762
2021-02-07,Sabah,11750
2021-02-07,Sarawak,41717
2021-02-07,Selangor,53648
2021-02-07,Terengganu,1240
2021-02-07,W.P. Kuala Lumpur,50320
2021-02-07,W.P. Labuan,1378
2021-02-07,W.P. Putrajaya,1783
2021-02-08,Johor,50204
2021-02-08,Kedah,28871
2021-02-08,Kelantan,31393
2021-02-08,Melaka,15044
2021-02-08,Negeri Sembilan,22665
2021-02-08,Pahang,23630
2021-02-08,Perak,32000
2021-02-08,Perlis,2872
2021-02-08,Pulau Pinang,25882
2021-02-08,Sabah,40182
2021-02-08,Sarawak,34764
2021-02-08,Selangor,104976
2021-02-08,Terengganu,15218
2021-02-08,W.P. Kuala Lumpur,50871
2021-02-08,W.P. Labuan,659
2021-02-08,W.P. Putrajaya,4205
2021-02-09,Johor,57277
2021-02-09,Kedah,33944
2021-02-09,Kelantan,34443
2021-02-09,Melaka,18723
2021-02-09,Negeri Sembilan,12817
2021-02-09,Pahang,25201
2021-02-09,Perak,40288
2021-02-09,Perlis,3532
2021-02-09,Pulau Pinang,24994
2021-02-09,Sabah,40910
2021-02-09,Sarawak,2622
2021-02-09,Selangor,38024
2021-02-09,Terengganu,23101
2021-02-09,W.P. Kuala Lumpur,23505
2021-02-09,W.P. Labuan,265
2021-02-09,W.P. Putrajaya,616
2021-02-24,Johor,0
2021-02-24,Kedah,0
2021-02-24,Kelantan,0
2021-02-24,Melaka,0
2021-02-24,Negeri Sembilan,0
2021-02-24,Pahang,0
2021-02-24,Perak,0
2021-02-24,Perlis,0
2021-02-24,Pulau Pinang,0
2021-02-24,Sabah,0
2021-02-24,Sarawak,1
2021-02-24,Selangor,0
2021-02-24,Terengganu,0
2021-02-24,W.P. Kuala Lumpur,41
2021-02-24,W.P. Labuan,0
2021-02-24,W.P. Putrajaya,18
2021-02-25,Johor,79
2021-02-25,Kedah,0
2021-02-25,Kelantan,0
2021-02-25,Melaka,0
2021-02-25,Negeri Sembilan,0
2021-02-25,Pahang,122
2021-02-25,Perak,297
2021-02-25,Perlis,0
2021-02-25,Pulau Pinang,0
2021-02-25,Sabah,1
2021-02-25,Sarawak,2
2021-02-25,Selangor,43
2021-02-25,Terengganu,0
2021-02-25,W.P. Kuala Lumpur,545
2021-02-25,W.P. Labuan,2
2021-02-25,W.P. Putrajaya,55
2021-02-26,Johor,0
2021-02-26,Kedah,6
2021-02-26,Kelantan,0
2021-02-26,Melaka,259
2021-02-26,Negeri Sembilan,0
2021-02-26,Pahang,773
2021-02-26,Perak,579
2021-02-26,Perlis,165
2021-02-26,Pulau Pinang,322
2021-02-26,Sabah,12
2021-02-26,Sarawak,1360
2021-02-26,Selangor,285
2021-02-26,Terengganu,11
2021-02-26,W.P. Kuala Lumpur,325
2021-02-26,W.P. Labuan,0
2021-02-26,W.P. Putrajaya,19
2021-02-27,Johor,2
2021-02-27,Kedah,38
2021-02-27,Kelantan,0
2021-02-27,Melaka,16
2021-02-27,Negeri Sembilan,1
2021-02-27,Pahang,1766
2021-02-27,Perak,244
2021-02-27,Perlis,3
2021-02-27,Pulau Pinang,6
2021-02-27,Sabah,563
2021-02-27,Sarawak,3639
2021-02-27,Selangor,79
2021-02-27,Terengganu,1
2021-02-27,W.P. Kuala Lumpur,224
2021-02-27,W.P. Labuan,136
2021-02-27,W.P. Putrajaya,6
2021-02-28,Johor,827
2021-02-28,Kedah,786
2021-02-28,Kelantan,162
2021-02-28,Melaka,0
2021-02-28,Negeri Sembilan,0
2021-02-28,Pahang,100
2021-02-28,Perak,134
