date,state,daily_partial,daily_full,daily,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending,pop
17/9/2021,Johor,8985,23889,32874,2480178,1819423,4299483,73,0,,,,,,,,,3781000
17/9/2021,Kedah,1049,16854,17903,1274231,917504,2190649,995,0,,,,,,,,,2185100
17/9/2021,Kelantan,915,5751,6666,952169,690675,1642252,206,0,,,,,,,,,1906700
17/9/2021,Melaka,1116,3886,5002,614417,513981,1128398,384,0,,,,,,,,,932700
17/9/2021,Negeri Sembilan,611,9941,10552,821940,751806,1573746,77,0,,,,,,,,,1128800
17/9/2021,Pahang,4531,5223,9754,973759,704872,1678478,182,0,,,,,,,,,1678700
17/9/2021,Perak,7975,24534,32509,1542417,1099695,2639330,3,0,,,,,,,,,2510300
17/9/2021,Perlis,501,2120,2621,173166,149699,322865,0,0,,,,,,,,,254900
17/9/2021,Penang,5828,12052,17880,1283736,999555,2283291,32,0,,,,,,,,,1773600
17/9/2021,Sabah,36105,18608,54713,1929951,1481970,3342617,44760,0,,,,,,,,,3908500
17/9/2021,Sarawak,2020,2463,4483,1946502,1820365,3766867,66866,0,,,,,,,,,2816500
17/9/2021,Selangor,4103,17153,21256,4130041,3861333,7991374,0,0,,,,,,,,,6538000
17/9/2021,Terengganu,481,816,1297,729856,610994,1340850,0,0,,,,,,,,,1259300
17/9/2021,Labuan,45,75,120,73837,66984,140821,2461,0,,,,,,,,,99600
17/9/2021,Putrajaya,139,685,824,128688,123078,251766,0,0,,,,,,,,,110000
